sr no ,scheme_id,scheme_name,level,state,department,short_description,gender,min_age,max_age,category,income_ceiling_annual,occupation,business_type,disability_status,other_conditions,benefits_summary,application_process_summary,documents_required,last_verified_date,source_links,verification_status,tier,notes
10,,New Swarnima Scheme – For Women,Central,All India,National Backward Classes Finance and Development Corporation (NBCFDC) / Ministry of Social Justice and Empowerment,Term loan assistance for women from notified backward classes to promote self-reliance and income-generating activities.,Female,18,55,ST/SC/OBC,300000,Entrepreneur / Self-employment,Income-generating activities,Not Specified,"Only women belonging to backward classes notified by the Central or State Governments are eligible. For projects up to ₹2 lakh, female beneficiaries are not required to make any investment. The scheme is provided under the term loan scheme.","Maximum loan of ₹2 lakh per beneficiary. For projects up to ₹2 lakh, female beneficiaries are not required to invest any money. NBCFDC provides 95% of the financing and the Channel Partner provides 5%. NBCFDC charges 2% p.a. to the Channel Partner, which charges 5% p.a. to the beneficiary. Repayment is through quarterly instalments over a maximum period of 8 years, including a 6-month moratorium on recovery of principal.",The provided source does not specify a detailed application process. It directs applicants to contact NBCFDC through its toll-free number or website for more information.,Address Proof; Identity Proof; SHG Membership ID; Caste Certificate (if applicable); Income Certificate from a competent authority; Aadhaar Card; Bank Account Details; Recent Passport-size Photographs,27-08-2026, https://www.myscheme.gov.in/schemes/nssw / https://nbcfdc.gov.in/nbcfdc/web/loan-scheme-description,Verified,Tier 1,"Annual family income eligibility range is ₹1,00,000 to ₹3,00,000. Applicants with annual family income below ₹1,00,000 or above ₹3,00,000 should not be considered eligible under this income criterion. The scheme is exclusively for women belonging to notified backward classes. Maximum loan is ₹2 lakh per beneficiary, with no beneficiary contribution required for projects up to ₹2 lakh. Beneficiary interest rate is 5% p.a. and repayment is over a maximum period of 8 years including a 6-month moratorium on principal repayment."
11,,General Loan,Central,All India,National Backward Classes Finance and Development Corporation (NBCFDC) / Ministry of Social Justice and Empowerment,"Loan assistance to eligible members of Backward Classes for income-generating activities including agriculture and allied activities, small business, artisan and traditional occupations, transport, service sector activities, and technical and professional trades or courses.",Any,Not Specified,Not Specified,ST/SC/OBC,300000,Entrepreneur,Agriculture and allied activities; Small business; Artisan and traditional occupations; Transport sector; Service sector; Technical and professional trades/courses,Not Specified,"Applicant must be an entrepreneur and a member of Backward Classes as notified by the Central or State Government. Annual family income should be up to ₹3,00,000. Landless agricultural labourers and marginalized farmers with less than 1 hectare land holding belonging to Backward Classes are deemed to have annual family income below ₹1.50 lakh. Small farmers with land holdings between 1 and 2 hectares belonging to Backward Classes are deemed to have annual family income below ₹3 lakh.","Loan assistance up to ₹15 lakh for eligible income-generating activities. NBCFDC finances up to 85% of the project cost and the remaining 15% is contributed by the Channel Partner and/or beneficiary. Concessional interest rates range from 6% to 8% per annum depending on the loan amount. Repayment is through quarterly instalments over a maximum period of 8 years, including a 6-month moratorium on recovery of principal.","Applicants obtain the prescribed application form from the District Office of the concerned Channel Partner, which may include State Channelising Agencies (SCAs), Regional Rural Banks (RRBs), or Public Sector Banks (PSBs). The applicant fills in the required details including the proposed income-generating activity, vocational choice and training requirements, if any, and submits the completed form to the District Office of the concerned Channel Partner in the area where the applicant normally resides. The application is processed by the Channel Partner as per NBCFDC guidelines.",Proof of Identity (Aadhaar Card); Relevant Caste Certificate issued by the relevant authority of District Administration; Passport-size Photograph; Income Certificate issued by Competent Authority of State Government/District Administration or Antyodaya Anna Yojana (AAY) Card or Below Poverty Line (BPL) Card; Annual family income self-certification endorsed by a Gazetted Officer where applicable; Self-certification assessed and endorsed by the Branch Manager where the loan is applied through a Bank Channel Partner; Domicile Certificate,28-08-2026,https://www.myscheme.gov.in/schemes/nbcfdc-gls,Verified,Tier 1,Annual family income ceiling is ₹3 lakh. Landless agricultural labourers and marginalized farmers with less than 1 hectare land holding are deemed to have annual family income below ₹1.50 lakh. Small farmers with 1 to 2 hectares land holding are deemed to have annual family income below ₹3 lakh. NBCFDC finances 85% of project cost and 15% is contributed by the Channel Partner and/or beneficiary. Maximum loan is ₹15 lakh and beneficiary interest ranges from 6% to 8% depending on loan amount. Age and disability criteria are not specified in the provided source.
12,,Education Loan(NBCFDC),Central,All India,National Backward Classes Finance and Development Corporation (NBCFDC) / Ministry of Social Justice and Empowerment,"Education loan assistance to eligible students from Backward Classes for professional, technical and vocational education at graduate and higher levels in India or abroad.",Any,Not Specified,Not Specified,ST/SC/OBC,300000,Student,Not Applicable,Not Specified,"Applicant must belong to Backward Classes as notified by the Central or State Government. Annual family income should be ₹3 lakh. Channel Partners are requested to release at least 50% of total funding to persons with annual family income up to ₹1.50 lakh. For professional/technical courses, the applicant must have secured admission in an approved course at a duly accredited/recognized institute and must have obtained at least 50% marks in the qualifying examination. Admission in India or abroad must be through entrance test or merit-based selection. Vocational courses must have a duration of at least 6 months and be run or supported by a Government Ministry/Department/Organisation, NSDC-supported organisation, State Skill Mission/Corporation or approved Sector Skill Council, preferably leading to a Certificate, Diploma or Degree.","For professional/technical courses in India, finance is up to 90% of course expenditure subject to a maximum loan of ₹15 lakh per student. For professional/technical courses abroad, finance is up to 85% of course expenditure subject to a maximum loan of ₹20 lakh per student. For vocational courses, need-based finance covers 90% of admissible expenses subject to the prescribed limits. Covered expenses include admission and tuition fees, books, stationery and required instruments, examination fees, boarding and lodging expenses, and insurance premium during the loan period. Interest is 4% p.a. for boys and 3.5% p.a. for girls.",The provided source does not specify a detailed step-by-step application process. Loans are provided through Channel Partners including State Channelising Agencies and Banks.,Not Specified,28-08-2026,https://nbcfdc.gov.in/nbcfdc/web/en/education-loan,Verified,Tier 1,"Income ceiling is ₹3 lakh annually, with Channel Partners requested to allocate at least 50% of total funding to applicants with family income up to ₹1.50 lakh. Professional/technical course loan limit is ₹15 lakh for study in India and ₹20 lakh for study abroad. India study financing is up to 90% of course expenditure, while abroad financing is up to 85%. Beneficiary interest is 4% p.a. for boys and 3.5% p.a. for girls. The moratorium for recovery from Channel Partners is 5 years. Maximum recovery period is 10 years after the 5-year moratorium, making the total period up to 15 years from disbursement to the Channel Partner. Borrowers can prepay after repayment begins without pre-closure charges. Age, disability and specific document requirements are not specified in the provided source."
13,,VISVAS (Interest Subvention Scheme),Central,All India,National Backward Classes Finance and Development Corporation (NBCFDC) / Ministry of Social Justice and Empowerment,Interest subvention for OBC individuals and Self Help Groups with OBC members who have taken loans for income-generating activities from lending institutions that have signed an MoA with NBCFDC.,Any,Not Specified,Not Specified,OBC,300000,Not Specified,Income-generating activities,Not Specified,"Applicant must belong to a Backward Class as notified by the Central or State Government. Annual family income must be less than ₹3 lakh. SHGs must be registered with NRLM, NULM or NABARD and have more than two years of credit history. SHGs and individuals must have made all loan repayments on time to qualify for interest subvention. OBC Antyodaya Anna Yojana (AAY) card holders and OBC individuals facing three or more deprivations under SECC-2011, as per relevant BDO records, are eligible. OBC beneficiaries engaged in agricultural activities and covered under PM-KISAN are also eligible.",Interest subvention of up to 5% per annum. Maximum loan limit is ₹4 lakh for SHGs and ₹2 lakh for individuals. The subvention amount is transferred directly into the operating account of the eligible SHG or individual.,The scheme provides interest subvention on loans taken from Lending Institutions that have signed an MoA with NBCFDC. The eligible subvention amount is transferred directly into the operating account of the SHG or individual.,Not Specified,28-08-2026,https://nbcfdc.gov.in/nbcfdc/web/en/visvas-yojana,Needs Review,Tier 1,"VISVAS is an interest subvention scheme for OBC individuals and eligible OBC Self Help Groups. Annual family income must be less than ₹3 lakh. Maximum loan limit is ₹2 lakh for individuals and ₹4 lakh for SHGs, with interest subvention of up to 5% p.a. SHGs must be registered with NRLM/NULM/NABARD and have more than two years of credit history. Timely repayment is required for eligibility. Additional eligible groups include OBC Antyodaya Anna Yojana (AAY) card holders, OBC individuals facing three or more SECC-2011 deprivations, and OBC agricultural beneficiaries covered under PM-KISAN. The provided source states that the scheme was valid for 2020-21 at that time, with further extension dependent on impact assessment; therefore current validity should be verified before production use."
14,,Stand-Up India Scheme,Central,All India,Ministry of Finance,"Bank loan facilitation for SC/ST and women entrepreneurs to establish greenfield enterprises in manufacturing, services, trading and activities allied to agriculture.",Any,18,Not Specified,SC/ST,Not Specified,Entrepreneur,Manufacturing; Services; Trading; Activities allied to agriculture,Not Specified,"Finance is provided only for Greenfield Enterprises. If the applicant is a male, he must belong to SC or ST category. The applicant must be at least 18 years old and must not be in default to any bank or financial institution. For non-individual enterprises, at least 51% of the shareholding and controlling stake must be held by an SC/ST or Woman entrepreneur.","Composite loans including term loan and working capital are available between ₹10 lakh and ₹1 crore. A RuPay debit card is issued for borrower convenience. The Stand-Up India portal also provides hand-holding support through agencies involved in training, skill development, mentoring, project report preparation, application filling, work shed/utility support and subsidy schemes.","Applicants can approach their nearest bank branch, the Lead District Manager (LDM), or apply through the Stand-Up India portal. Online applicants register on the portal, enter business location and personal details, select SC/ST/Woman category and whether the ownership stake is 51% or higher, provide proposed business and loan details, past business experience and hand-holding requirements, and complete registration. After registration, the applicant can initiate the loan application process with the respective financial institution.",Proof of Identity; Proof of Residence; Proof of Business Address; Proof that applicant is not a defaulter with any Bank/Financial Institution; Memorandum and Articles of Association / Partnership Deed as applicable; Assets and Liabilities Statement of promoters and guarantors with latest Income Tax Returns; Rent Agreement if premises are rented; Pollution Control Board clearance if applicable; SSI/MSME Registration if applicable; Projected Balance Sheets; Lease Deeds/Title Deeds where applicable; SC/ST category proof wherever applicable; Certificate of Incorporation establishing majority stake holding in SC/ST/Woman category,28-08-2026,"https://www.myscheme.gov.in/schemes/sui / https://www.standupmitra.in/ / https://www.standupmitra.in/Login/Register
",Verified,Tier 1,"The scheme targets SC/ST and women entrepreneurs. Women entrepreneurs can be eligible under the scheme irrespective of SC/ST category, while male applicants must belong to SC or ST category. Applicants must be at least 18 years old and must not be in default to any bank or financial institution. For non-individual enterprises, at least 51% of shareholding and controlling stake must be held by an SC/ST or Woman entrepreneur. No annual family income ceiling is specified in the provided source. The enterprise must be a Greenfield Enterprise."
15,,National Overseas Scholarship Scheme for SC etc. Candidates,Central,All India,Ministry of Social Justice and Empowerment,"Financial assistance to low-income students belonging to Scheduled Castes, Denotified, Nomadic and Semi-Nomadic Tribes, Landless Agricultural Labourers and Traditional Artisans for pursuing Master's Degree or Ph.D. courses abroad.",Any,Not Specified,35,SC,800000,Student,Not Applicable,Not Specified,"Applicant must belong to one of the eligible categories under the scheme. The applicant must have at least 60% marks or equivalent grade in the qualifying examination. The scheme covers Master's Degree and Ph.D. courses abroad; Bachelor's level courses are not covered. Candidates must have an unconditional offer of admission from an eligible foreign institution/university. For the first round of selection in 2026, the institution/university must be among the top 500 QS World University Rankings. Candidates already staying, studying, or having completed studies abroad using another scholarship or own funds are not eligible. The award can be given only once, and not more than two children of the same parents/guardians can receive the scholarship subject to scheme conditions. Candidates must return to India within 30 days of completing the course and stay in India for at least one year.","Financial assistance for Master's Degree and Ph.D. studies abroad, including annual maintenance allowance, annual contingency allowance, tuition fees, visa fees, medical insurance premium, incidental journey and equipment allowance, and air passage as prescribed under the scheme.","Online applications are submitted through the National Overseas Scholarship portal at www.nosmsje.gov.in. The selection year runs from April to March. The portal is opened for applications in April/May for the first round and September/October for the second round, subject to availability of slots. Only complete online applications are considered.",10th Board Certificate; Caste Certificate; Photograph; Scanned Signature; Current/Permanent Address Proof; Qualifying Degree/Provisional Certificate; Mark Sheet of Qualifying Examination; Valid Document regarding Admission in Foreign University; Income Documents of all Family Members; NOC from Employer if employed; Income Tax Return Acknowledgement or Assessment Order; Aadhaar Card. After selection: Attestation Form; Self Declaration/Undertaking regarding Total Annual Family Income; Self Declaration regarding pending case/non-conviction of offence; Passport; Bonds; Solvency Certificates; Health Certificate; Passport and VISA copies; required undertakings/declarations.,28-08-2026,https://socialjustice.gov.in/schemes/28,Verified,Tier 1,"Applicable from 2026-27. The scheme provides 125 fresh awards per selection year subject to availability of funds: 115 for Scheduled Castes, 6 for Denotified, Nomadic and Semi-Nomadic Tribes, and 4 for Landless Agricultural Labourers and Traditional Artisans. 30% of awards are earmarked for women candidates; if adequate eligible women candidates are not available, unutilized slots may be given to suitable male candidates. The maximum age is 35 years as on the first day of April of the selection year. Gross annual family income from all sources must not exceed ₹8 lakh in the last completed financial year. For the 2026-27 selection year, FY 2025-26 income is considered. If FY 2025-26 gross annual family income exceeds ₹2.5 lakh under the Old Tax Regime or ₹3 lakh under the New Tax Regime, additional ITR and CPC intimation documentation is required; these amounts are documentation thresholds and NOT the income ceiling. Minimum qualification is 60%. The scholarship duration is up to 4 years for Ph.D. and 3 years for Master's Degree, or the sanctioned course duration, whichever is earlier."
16,,Divyangjan Swavalamban Yojana (NDFDC),Central,All India,National Divyangjan Finance and Development Corporation (NDFDC) / Department of Empowerment of Persons with Disabilities,"Concessional credit assistance to persons with disabilities for income-generating activities, higher education, vocational or skill development, and purchase or modification of assistive devices and equipment.",Any,18,Not Specified,GENERAL/SC/ST/OBC,Not Specified,Any,Self-Employment; Higher Education; Vocational/Skill Development; Assistive Devices,Yes,"Applicant must be an Indian citizen with 40% or more disability as defined under the Rights of Persons with Disabilities Act, 2016 or its amendments. The applicant must possess a Unique Disability ID (UDID) Number. Normally, the applicant must be above 18 years of age; for persons with mental retardation, the eligible age is above 14 years. The age criterion does not apply to educational loans. The loan may be used for income-generating activities, higher education after Class 12, vocational or skill development courses, or purchase, customization, retrofitting or conversion of devices, machines, equipment or vehicles to disabled-friendly mode.","Concessional credit up to ₹50 lakh per beneficiary/unit. For self-employment loans, the beneficiary interest rate ranges from 5% to 9% depending on the loan amount. For home loans, the beneficiary interest rate ranges from 5% to 7%. For education loans for studies in India and abroad, the beneficiary interest rate is 4%. Women with disabilities receive a 1% interest rebate on self-employment loans up to ₹50,000, subject to the scheme conditions. Loans can cover self-employment, home, education and other eligible activities under the scheme.",The applicant must submit an application in the prescribed format to the implementing agency. The implementing agency processes and sanctions the loan according to the procedure and terms and conditions prescribed by NDFDC.,Age Certificate; Unique Disability ID (UDID) Number; Documents required by the implementing agency as per its prescribed procedure; Other documents as stipulated by NDFDC/implementing agency.,28-08-2026,https://www.ndfdc.nic.in/schemes/DIVYANGJAN%20SWAVALAMBAN%20YOJANA.pdf,Verified,Tier 1,"The scheme is specifically for persons with disabilities having 40% or more disability and possessing a UDID Number. No annual family income ceiling is specified in the provided scheme document. The overall upper limit of concessional credit is ₹50 lakh per beneficiary/unit. Self-employment loan interest rates to PwDs are 5% for loans up to ₹50,000, 6% for loans above ₹50,000 up to ₹5 lakh, 7% for loans above ₹5 lakh up to ₹15 lakh, 8% for loans above ₹15 lakh up to ₹30 lakh, and 9% for loans above ₹30 lakh up to ₹50 lakh. Home-loan beneficiary interest rates are 5% for loans up to ₹50,000 and 6% for loans above ₹50,000 up to ₹5 lakh and 7% for loans above ₹5 lakh up to ₹50 lakh. Education loans up to ₹50 lakh carry 4% interest. Women with disabilities receive a 1% interest rebate on self-employment loans up to ₹50,000, subject to the specified conditions. Repayment for self-employment loans may be up to 10 years; education-loan repayment is as sanctioned by the implementing agency. No prepayment charges are applicable after commencement of repayment."
17,,National Fellowship for Scheduled Caste Students (NFSC),Central,All India,Ministry of Social Justice and Empowerment / National Scheduled Castes Finance and Development Corporation (NSFDC),Fellowship providing financial assistance to Scheduled Caste students pursuing regular full-time M.Phil. or Ph.D. research in UGC-recognized universities and institutions in India.,Any,Not Specified,Not Specified,SC,Not Specified,Student,Not Applicable,Not Specified,"Applicant must belong to the Scheduled Caste category. The fellowship is for regular and full-time M.Phil./Ph.D. courses in UGC-recognized Universities/Research Institutions. Candidates must qualify UGC-NET-JRF or Joint CSIR-UGC-NET-JRF as applicable. Candidates who have already secured admission and qualified the NET examination are given preference. A scholar can receive only one fellowship at a time and cannot simultaneously receive another scholarship/fellowship or monetary benefit from another source, subject to the scheme conditions. Employees of Universities, Colleges, Educational Institutions and Central/State/UT Governments are excluded from availing the fellowship even if they are on study leave or extraordinary leave.","Financial fellowship support for M.Phil./Ph.D. research. The fellowship rate is ₹37,000 per month for Junior Research Fellowship (JRF) for the initial two years and ₹42,000 per month for Senior Research Fellowship (SRF) for the remaining tenure. Contingency grants and HRA are also provided as per applicable guidelines. HRA rates were revised to 30%, 20% and 10% for X, Y and Z cities respectively, effective from 1 January 2024. Escort/Reader assistance is available for eligible physically and visually handicapped candidates as per scheme guidelines.","Selection is based on merit in the UGC-NET-JRF or Joint CSIR-UGC-NET-JRF examination. Candidates who have already secured admission are given preference. Candidates without admission may also be selected in order of merit, subject to obtaining admission to a recognized M.Phil./Ph.D. programme within the prescribed period. SC certificate authenticity is verified by the concerned University/Institution. Results and award letters are made available through the NSFDC system.",Scheduled Caste Certificate; Aadhaar/Aadhaar EID or other permitted identity document; UGC-NET-JRF or Joint CSIR-UGC-NET-JRF qualification details; Admission/Joining documents for M.Phil./Ph.D.; Verification-cum-Joining Report; Bank Account Details; Other documents/forms prescribed by NSFDC or the concerned University/Institution.,28-08-2026,https://socialjustice.gov.in/schemes/29,Verified,Tier 1,"Central Sector Scheme introduced in 2005-06. The scheme provides 2,000 new fellowships per year: 1,500 for Humanities/Social Sciences and 500 for Science. NSFDC has been the Central Nodal Agency for implementation since 01.10.2022. Fellowship is for SC students pursuing M.Phil./Ph.D. in recognized Indian institutions. The fellowship is not a loan and does not require repayment. The revised fellowship rates are ₹37,000/month for JRF for the initial two years and ₹42,000/month for SRF for the remaining tenure. The 2025 official notice revised HRA to 30%, 20% and 10% for X, Y and Z cities respectively, effective from 01.01.2024. PwD candidates belonging to SC are covered through an inclusive PwD reservation provision as per applicable norms, with minimum 40% disability for PwD concessions/benefits; disability is NOT a general eligibility requirement of the scheme. There is no income ceiling specified in the provided NFSC guidelines."
18,,Swachhta Udyami Yojana (SUY),Central,All India,National Safai Karamcharis Finance and Development Corporation (NSKFDC) / Ministry of Social Justice and Empowerment,Financial assistance at concessional interest rates for Safai Karamcharis and liberated Manual Scavengers to procure and operate sanitation-related equipment and vehicles and undertake sanitation-related enterprises.,Any,Not Specified,Not Specified,GENERAL/SC/ST/OBC/EWS,Not Specified,Sanitation-related work,Sanitation Enterprise; Mechanized Cleaning Equipment/Vehicles; Dry Waste Collection Centre (DWCC),Not Specified,"The scheme is targeted at Safai Karamcharis and liberated Manual Scavengers. Financial assistance is available to individuals, Self Help Groups (SHGs), Joint Responsibility Groups (JRGs) and Cooperatives for sanitation-related equipment/vehicles and setting up Dry Waste Collection Centres (DWCCs). For individual beneficiaries, the maximum project cost is ₹15 lakh. For SHGs/JRGs/Cooperatives, the maximum project cost is ₹50 lakh. The scheme is implemented through Channelizing Agencies (CAs). For the ULB-oriented model, beneficiaries may be nominated by Urban Local Bodies and may receive a Work Assurance Letter for mechanized cleaning work.",Concessional financial assistance for sanitation-related equipment and vehicles. Maximum project cost is ₹15 lakh for individual beneficiaries and ₹50 lakh for SHGs/JRGs/Cooperatives. The beneficiary interest rate is 6% per annum. A 1% interest rebate is available for women beneficiaries and a 0.5% rebate is available for timely repayment. The repayment period is up to 7 years.,"Beneficiaries apply through the concerned Channelizing Agencies (CAs). Under the ULB-oriented model, Urban Local Bodies can nominate Safai Karamcharis or dependents as beneficiaries, provide a long-term Work Assurance Letter, facilitate loans through banks, and support procurement of mechanized cleaning equipment/vehicles. Banks/SCA disburse the loan and applicable capital subsidy, after which beneficiaries procure the equipment/vehicle and commence work in coordination with the ULB.",Not Specified,29-08-2026,https://www.dosje.gov.in/schemes-and-services/swachhta-udyami-yojana-suy/,Verified,Tier 1,"The scheme has twin objectives of promoting mechanized cleaning and providing safe and sustainable livelihood opportunities to Safai Karamcharis and liberated Manual Scavengers. Individual beneficiaries can have a maximum project cost of ₹15 lakh, while SHGs/JRGs/Cooperatives can have a maximum project cost of ₹50 lakh. The beneficiary interest rate is 6% per annum, with a 1% rebate for women beneficiaries and 0.5% rebate for timely repayment. Repayment is allowed for up to 7 years. The scheme also supports setting up Dry Waste Collection Centres (DWCCs). Under the ULB model, beneficiaries may receive long-term assured mechanized cleaning work through a Work Assurance Letter. No annual income ceiling, age limit, or disability condition is specified in the provided source."
19,,Nari Arthik Sashaktikaran Yojana,Central,All India,National Scheduled Castes Finance and Development Corporation (NSFDC) / Ministry of Social Justice and Empowerment,"Financial assistance for economically poor Scheduled Caste women, particularly widows, divorcees, single mothers and single women, to undertake income-generating activities and improve their economic empowerment.",Female,25,50,SC,Not Specified,Any,Income-Generating Activity,Not Specified,"The applicant must belong to the Scheduled Castes. The applicant must belong to an economically poor family meeting the prescribed Below Poverty Line income conditions. Eligible applicants include widows, divorcees, single mothers, and single women aged above 35 years, subject to the scheme conditions. The stated application age range is 25 to 50 years. Women registered under the Widow Pension Scheme may also be eligible if they satisfy the prescribed conditions. Financial assistance is provided according to the unit cost prescribed under the applicable NSFDC scheme. Eligible beneficiaries may also be considered for NSFDC Skill Training Programme assistance.","Financial assistance for income-generating activities under applicable NSFDC schemes. BPL beneficiaries may receive subsidy of ₹10,000 or 50% of the unit cost, whichever is less, under the applicable Special Central Assistance provisions. The SCA may provide 2% of the loan amount as a grant for handholding activity, subject to a maximum of ₹4,000 per unit. Beneficiaries may be eligible for further assistance for business expansion after two years subject to regular repayment.",Eligible applicants apply through the concerned State Channelizing Agencies (SCAs) for financial assistance under the applicable NSFDC scheme. The SCA processes the application and provides applicable margin money and assistance according to NSFDC guidelines.,Not Specified,29-08-2026,https://www.indiafilings.com/learn/nari-arthik-sashaktikaran-yojana,Needs Review,Tier 2,"The provided source states rural family income up to ₹98,000 per annum and urban family income up to ₹1,20,000 per annum as the applicable Below Poverty Line limits. These are location-specific limits, so income_ceiling_annual is kept as Not Specified rather than forcing one single annual ceiling. The scheme does not specify a separate maximum loan amount; beneficiaries can avail financial assistance according to the unit cost prescribed under the applicable NSFDC scheme. NSFDC may charge 1% interest, while the SCA charges 4% to beneficiaries. Repayment is in quarterly instalments over a maximum period of 10 years, including a moratorium of 3 to 24 months depending on the nature of the scheme. The scheme specifically targets women from Scheduled Castes who meet the stated social and economic conditions."
20,,Mahila Adhikarita Yojana,Central,All India,National Safai Karamcharis Finance and Development Corporation (NSKFDC) / Ministry of Social Justice and Empowerment,"Financial assistance to women Safai Karamcharis, Scavengers and their dependent daughters for small and petty trade, business and other income-generating activities.",Female,Not Specified,Not Specified,Not Specified,Not Specified,Safai Karamchari / Scavenger,Small/Petty Trade; Business; Sundry Income-Generating Activities,Not Specified,"The applicant must be a woman Safai Karamchari or Scavenger or a dependent daughter of a Safai Karamchari or Scavenger. The scheme targets economically poor beneficiaries. Loan assistance is provided through State Channelizing Agencies (SCAs), Regional Rural Banks (RRBs) and Nationalized Banks. Promoter's contribution is not required from beneficiaries. The remaining 10% of unit cost may be provided by the SCA through loan, subsidy or other available sources.","Loan assistance up to ₹2,00,000 per beneficiary/unit. NSFDC loan component can cover up to 90% of the unit cost. Interest charged to beneficiaries is 7% per annum. No promoter contribution is required from beneficiaries. A 2% loan amount grant may be provided by the SCA for handholding activities, subject to a maximum of ₹4,000 per unit.","Eligible beneficiaries apply through State Channelizing Agencies (SCAs), Regional Rural Banks (RRBs) or Nationalized Banks. The concerned implementing agency processes the loan application according to the applicable NSKFDC guidelines.",Not Specified,29-08-2026,https://www.dosje.gov.in/schemes-and-services/mahila-adhikarita-yojana-may/,Verified,Tier 1,"Maximum project cost is ₹2,00,000 per beneficiary/unit. NSFDC can provide up to 90% of the unit cost, while the remaining 10% is provided by the SCA through loan, subsidy or other available sources. Beneficiary interest rate is 7% per annum. Repayment period is 5 years after an implementation period of 4 months and a moratorium period of 6 months. The scheme does not specify an annual income ceiling in the provided source. No age limit or disability requirement is specified in the provided source."
21,,Manav Kalyan Yojana,State,Gujarat,Government of Gujarat,Assistance scheme for eligible beneficiaries in Gujarat through toolkits and equipment for approved trades and income-generating activities.,Any,18,60,Not Specified,600000,Self-Employed / Worker,Approved Trades / Income-Generating Activities,Not Specified,"For beneficiaries in rural areas, inclusion in the District Rural Development Department poverty-line list is required. Beneficiaries with a 0–16 score are not required to submit an income certificate. Other beneficiaries must provide an income certificate showing annual family income up to ₹6,00,000 issued by the competent authority. Applicants must apply online through the e-Kutir portal and upload the required documents including e-Shram Card details and caste certificate. For 12 extremely backward castes among Scheduled Castes and extremely backward, nomadic and denotified castes among Socially and Educationally Backward Classes, no income limit applies and only the caste certificate is required.","Eligible beneficiaries receive financial assistance through approved toolkits/equipment for eligible trades. An e-voucher with a QR code is generated after approval, which can be redeemed through authorized dealers in Gujarat. Applicants may also opt for training through the portal. The toolkit can be purchased up to the maximum approved value, with any excess cost borne by the beneficiary.","Applicants must apply online through the e-Kutir portal at https://e-kutir.gujarat.gov.in. Required documents must be uploaded online, including e-Shram Card details and caste certificate. Applications are submitted and considered through the prescribed online selection process. After toolkit approval, an e-voucher/QR code is generated and can be redeemed through an authorized dealer. Post-purchase verification is conducted by the concerned authorities/third-party agency.",e-Shram Card; Caste Certificate; Income Certificate where applicable; Other required documents as specified in the online application.,29-08-2026,https://e-kutir.gujarat.gov.in/index.aspx?ServiceID=2,Verified,Tier 1,"State-specific scheme for Gujarat. Age eligibility is 18 to 60 years. Annual family income limit is ₹6,00,000 for applicable beneficiaries. Rural beneficiaries may qualify through inclusion in the District Rural Development Department poverty-line list; beneficiaries with a 0–16 poverty-line score do not need to submit an income certificate. For 12 extremely backward castes among Scheduled Castes and extremely backward, nomadic and denotified castes among Socially and Educationally Backward Classes, no income limit applies and only the caste certificate is required. Applicants must possess/provide e-Shram Card details. Toolkit assistance is provided through an e-voucher/QR code and authorized dealers. Any amount exceeding the approved maximum toolkit value must be paid by the beneficiary. Post-purchase verification is carried out, and misuse of government assistance can result in recovery of the assistance and disqualification from future government schemes."
22,,Self Employment Scheme,State,Gujarat,Gujarat Tribal Development Department / Gujarat Tribal Development Corporation,Concessional loan assistance to unemployed Scheduled Tribe individuals residing in Gujarat for starting self-employment activities under approved business activities.,Any,Not Specified,Not Specified,ST,Not Specified,Entrepreneur,Trade; Service; Small Manufacturing; Other Approved Self-Employment Activities,Not Specified,The applicant must be a resident of Gujarat and belong to the Scheduled Tribe (ST) category. The applicant must be unemployed at the time of applying. The proposed activity must be one of the approved business activities under the scheme.,"Loan assistance ranging from ₹50,000 to ₹5,00,000 at an interest rate of 4% per annum for eligible self-employment activities.","Applicants can apply through the Gujarat Tribal Development Corporation's prescribed application process. The applicant provides personal, category and business-related information and submits the required documents for processing by the concerned authority.",Aadhaar Card; Caste Certificate; Income Certificate; Ration Card; Business Address Proof; Identity Card; Artisan Identity Card if applicable; Passport-size Photographs; Age Proof; Bank Passbook or Cancelled Cheque; Affidavit; Quotations; 7/12 Certificate where applicable.,29-08-2026,https://www.myscheme.gov.in/schemes/sesg,Need to be Verified,Tier 2,"Gujarat-specific ST self-employment scheme. The myScheme information states that loan assistance ranges from ₹50,000 to ₹5,00,000 at 4% annual interest and covers approved self-employment activities. The applicant must belong to the Scheduled Tribe category and be unemployed. The current income ceiling, age criteria and other detailed conditions require verification from the latest official Gujarat Tribal Development Corporation notification. An older Gujarat government publication contains different income-related information, so the income ceiling is kept as Not Specified until the current official notification is confirmed."
